row_id,performa_type,performa_date,series,sale_type,order_code,account_detail,customer_code,customer_name,status,amount,description
22.0,پیش‌فاکتور,1404/02/16,1.0,pcb,29475.0,404J/01201,09/090,نیان الکترونیک,مختومه,380717282.0,60 الی 75 روز
23.0,پیش‌فاکتور,1404/02/27,1.0,pcb,29476.0,404J/01202,09/038,فاراتل,مختومه,540423868.5,60 الی 75 روز
24.0,پیش‌فاکتور,1404/03/05,1.0,pcb,29477.0,404J/01203,09/038,فاراتل,مختومه,25237132.1,60 الی 75 روز
25.0,پیش‌فاکتور,1404/03/05,1.0,pcb,29478.0,404J/01203,09/038,فاراتل,مختومه,29800253.3,60 الی 75 روز
26.0,پیش‌فاکتور,1404/04/01,1.0,pcb,833.0,404J/01205,09/083,سازه پویش,مختومه,11000000.0,25 الی 30 روز پس از تایید
27.0,پیش‌فاکتور,1404/04/18,1.0,pcb,29479.0,404J/01204,09/243,تابا الکترونیک,مختومه,1030315320.0,طی دو مرحله 30 الی 45 روزه و 45 الی 60 روزه
28.0,پیش‌فاکتور,1404/04/18,1.0,pcb,29480.0,404J/01204,09/243,تابا الکترونیک,مختومه,444788100.0,طی دو مرحله 30 الی 45 روزه و 45 الی 60 روزه
29.0,پیش‌فاکتور,1404/04/30,1.0,pcb,29481.0, 404J/01206,09/738,صنایع الکترونیک مازی نور,جاری,8644954.2,10 الی 12 روز
30.0,پیش‌فاکتور,1404/04/30,1.0,pcb,29482.0,403J/01186,09/566,آنیک الکترونیک کویر یزد,مختومه,90735975.0,60 الی 75 روز
31.0,پیش‌فاکتور,1404/05/01,1.0,pcb,834.0,404J/01207,09/090,نیان الکترونیک,جاری,126500000.0,15 الی 20 روز کاری پس از پرداخت
32.0,پیش‌فاکتور,1404/05/01,1.0,pcb,29483.0,404J/01208,09/083,سازه پویش,جاری,1002552000.0,30 الی 45 روز پس از پرداخت
33.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29487.0,404J/01209,09/113,کاوندیش سیستم,مختومه,63849821.2,نیمه مهر ماه
34.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29488.0,404J/01209,09/113,کاوندیش سیستم,مختومه,55541085.6,نیمه مهر ماه
35.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29489.0,404J/01209,09/113,کاوندیش سیستم,مختومه,102372688.0,نیمه مهر ماه
36.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29490.0,404J/01209,09/113,کاوندیش سیستم,مختومه,115598494.0,نیمه مهر ماه
37.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29491.0,404J/01209,09/113,کاوندیش سیستم,مختومه,34054895.6,نیمه مهر ماه
38.0,پیش‌فاکتور,1404/05/26,1.0,pcb,29492.0,404J/01209,09/113,کاوندیش سیستم,مختومه,24409480.7,نیمه مهر ماه
